-78 -79 -80 -60 -70 -83
-75 -72 -80 -56 -73 -83
-67 -67 -73 -60 -73 -76
-67 -69 -73 -52 -74 -76
-75 -80 -74 -56 -64 -76
-73 -71 -76 -70 -73 -76
-72 -77 -79 -65 -66 -74
-67 -80 -89 -51 -68 -71
-73 -81 -74 -60 -71 -79
-68 -80 -80 -56 -66 -79
-70 -74 -84 -76 -69 -79
-72 -88 -77 -56 -66 -68
-66 -88 -76 -46 -60 -56
-63 -84 -58 -45 -72 -59
-61 -84 -65 -48 -66 -60
-61 -93 -70 -56 -74 -60
-61 -87 -73 -51 -73 -57
-79 -93 -74 -55 -74 -61
-69 -87 -76 -54 -62 -63
-65 -87 -68 -65 -58 -63
-64 -85 -81 -59 -61 -67
-75 -85 -84 -71 -70 -80
-82 -84 -84 -62 -81 -63
-79 -82 -86 -64 -85 -63
-74 -81 -71 -76 -91 -53
-74 -81 -68 -53 -71 -53
-74 -79 -68 -74 -71 -63
-81 -83 -68 -69 -71 -58
-81 -88 -68 -81 -71 -56
-84 -88 -69 -67 -82 -69
